Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
ACSM2B,4,4946.98,0,0,0,0,0,7,0,0,1,0,1,0,1,2,0,0,0,0,65.06,0
ACSM3,196.32,1047.91,6,183.56,49.42,4,29.24,309.38,9.33,12.21,26.66,15.89,41.11,4,32.58,80.49,47.62,13.89,21.08,22.18,46.4,167.49
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,84,1844,35,17,100,4,2,252,6,10,19,84,40,28,48,151,109,13,63,38,25,35
ACSS1,3880,1335,2788,5569,1277,1339,1935,3131,4238,1660,1216,513,2465,1410,2057,3404,1050,506,2827,3118,368,708
ACSS2,2097,992,1815,2491,1427,3286,946,13780,16482,9743,2949,2794,1072,1877,1097,2176,1097,1351,1730,1513,1416,1310
ACSS3,158,538,29,4,2202,12,607,91,3589,688,3132,142,17,25,10,698,38,13,98,32,18,143
ACTA1,3,3,0,1,2,3,0,16,8,2,2,1,367,10521,7,102,3,7,4,1,16,3
ACTA2,24396,1092,5547,4207,3372,711,1647,4976,13709,4252,10254,5811,1460,2558,771,42646,11804,2894,2110,736,1462,3084
ACTB,191338,43249,208410,119840,110872,135883,86802,140593,167931,80674,209650,231019,75697,165181,80940.25,220864,148990,149885,189099,107309,90985,132904
ACTBL2,0,0,0,4,18,0,1,2,10,4,29,69,59,0,0,4,3,0,10,7,2,0
ACTC1,43,2,3,9,28,0,1,29,20,19,1,32,672,4735,0,2044,8,2,3,0,20,2
ACTG1,149334,82175,138220,201045,124771,61198,69142,81565,98924,54847,93747,242121,38528,162623,94059,132604,83373,154015,189325,159000,89395,57565
ACTG1P4,11,1,6,0,7,2,11,7,0,1,6,5,7,0,7,3,2,1,20,53,2,6
ACTG2,3102,10,889,8968,372,23,97,438,1242,185,220,787,61,61,15,4599,256,135,153,20,174,123
ACTL10,41,19,69,3,33,135,40,78,281,48,49,147,116,82,91,86,53,184,33,19,92,10
ACTL6A,2769,1222,5685,4282,3540,3274,1071,4336,5887,3176,2854,10812,3479,1243,1612,3192,2749,1447,3715,3457,1521,3594
ACTL6B,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ACTL7B,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
ACTL8,1,0,58,23,3,1,8,0,3,0,0,0,60,1,0,0,1,77,1,1,4,13
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,18940,3427,8903,38248,56066,5900,1350,6003,12248,12553,14757,22361,4372,6520,2071,15526,8467,1831,21511,21172,8260,7779
ACTN1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ACTN2,23,1,13,8,36,13,22,731,217,492,36,21,225,1303,1,6,111,24,33,48,1,25
ACTN3,2,1,1,0,1,0,2,0,2,3,1,3,74,434,1,5,1,1,1,0,2,3
ACTN4,62037.3,13404.99,21970.61,59873.74,27625.71,26068.86,7406.02,34150.68,58549.28,42424.86,36643.17,64289.84,7075.64,31354.89,6806.24,28362.26,15399.29,10453.97,60671.19,49550.24,9926.91,12661.54
ACTR10,3289,1202,2555,4125,6599,2167,718,4111,2445,2881,3432,4170,3353,764,1322,2448,1917,1229,3188,2892,1639,2330
ACTR1A,7436,2707,5685,8215,6297,4868,1330,4049,4084,4868,4411,15681,3036,3553,2739,5298,4455,3635,5332,3744,4623,4608
ACTR1B,2776,1812,1315,2331,2626,1199,741,2305,3810,3462,1943,2399,814,1340,1013,2104,1419,481,3429,3912,988,1444
ACTR2,18851,8322,18099,20892,29446,16633,6908,16278,15549,16143,29044,40720,8989,4560,12405,29906,24269,9442,24624,21121,9684,16178
ACTR3,15958,4675,9022,13867,12231,12072,4359,10293,15648,11305,14473,36766,9434,2044,8463,13562,19392,6257,13732,10318,10025,10536
ACTR3B,337.19,261.33,1064.73,125.66,427.83,187,415.63,656.25,604.99,1400.68,521.76,368.22,452.6,182.85,254.83,274.21,531.32,204.77,358.9,373.36,194.01,1014.41
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,9.81,100.67,2.27,9.34,97.17,0,45.37,453.75,9.01,3.32,24.24,12.78,5.4,1.15,13.17,30.79,9.68,4.23,93.1,58.64,94.99,38.59
ACTR5,554,227,785,727,388,501,186,568,821,400,380,1169,710,195,370,453,468,644,423,500,415,442
ACTR6,1269,632,1296,1116,1659,927,401,2193,1078,1334,1449,2155,1362,362,949,1289,1207,436,1091,1043,751,1183
ACTR8,2312,680,2165,2109,1917,1214,595,1637,1717,1631,1670,2185,995,366,938,1145,875,787,1777,1919,664,1590
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,23,43,160,42,61,73,83,105,100,46,107,347,45,18,56,118,80,26,13,8,104,19
ACVR1,5059,1256,1015,5867,3905,2940,958,3198,7797,2574,2953,3517,1448,642,668,2354,1292,359,2315,2363,810,801
ACVR1B,1747,1098,2670,1661,2030,651,658,2164,1218,872,1739,1823,465,678,606,1924,763,773,1344,1252,1688,1026
ACVR1C,227,48,13,64,368,26,47,81,176,6,31,162,84,35,19,127,284,80,143,11,21,20
ACVR2A,825.08,285.82,538.79,398.91,287.19,578.7,411.54,866.16,630.36,566.06,616.19,802.09,253.37,111.86,477.02,877.09,415.97,259.51,1009.92,1354.17,501.88,446.41
ACVR2B,1800,466,4740,1423,1801,1058,215,1132,1156,698,436,767,1447,418,366,349,493,640,1357,1822,98,1223
ACVR2B-AS1,122,19,123,195,151,169,11,352,92,78,16,11,108,56,44,14,13,18,124,114,5,121
ACVRL1,2291,190,401,293,500,259,570,1202,949,583,1396,1294,376,554,390,3451,2029,630,966,429,597,901
ACY1,1728,2957,2217,1912.25,1712,753.22,640,1793,2200,1211.75,1014,1561,1083,1569,494.69,977.92,538,1914.46,1967.44,1549,936,2403
ACY3,3,118,5,0,2,1,54,13,18,3,15,3,7,4,43,16,25,4,5,3,7,5
ACYP1,1114,390,23,942,441,686,119,1091,357,904,532,645,819,219,245,605,478,178,531,400,237,191
ACYP2,253,345,109,329,374,255,103,506,125,352,417,246,264,49,144,295,324,148,212,186,153,336
ADA,631,196,639,1101,197,345,143,446,591,116,348,1136,616,764,403,1354,544,957,262,124,340,398
ADAD1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAD2,6,1,2,0,12,0,1,4,1,0,1,1,1,1,0,13,1,2,1,0,7,2
ADAL,845,367,544,784,676,156,258,879,633,541,264,577,491,240,202,450,175,172,757,702,110,266
ADAM10,6682,3574,7045,10841,13745,2010,1130,5094,7313,9960,8146,7889,3417,863,1476,5242,2719,1223,4423,4547,1721,18640
ADAM11,79,188,1517,80,86,158,31,12,504,7,15,11,606,1163,32,35,343,289,30,28,44,310
ADAM12,4190,860,486,295,3047,174,542,1513,3969,3460,3214,3952,362,504,330,9027,1988,287,1417,875,171,5033
ADAM15,6747,2962,3793,8014,3035,1855,3837,7289,5824,2931,5181,5718,3273,8563,2028,5008,9465,7943,4856,2985,5391,3568
ADAM17,3206,964,1599,2574,2085,767,807,1541,3199,1681,3206,4254,458,173,427.96,1981,1167,305,1922,2467,1395,725
ADAM18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADAM19,10068,215,435,2931,598,782,117,2118,4176,1928,1949,7934,241,435,523,2241,659,201,663,538,359,397
ADAM1A,113,70,74,40,129,59,61,161,146,147,86,179,116,25,91,111,155,29,161,210,50,96
ADAM2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20,2,1,3,0,7,1,2,9,1,8,3,0,5,0,1,1,1,0,3,2,6,0
ADAM20P1,15,3,4,1,12,4,11,20,11,6,8,12,16,0,6,7,19,2,4,2,12,5
ADAM21,18.83,3,5,121.51,100.32,1,2,8,80.83,5,5,4,21.46,2,2,5,1,0,1,1,4,8.9
ADAM21P1,3.17,0,0,11.49,10.68,0,0,0,4.17,0,0,4,5.54,0,0,0,0,0,0,0,0,1.1
ADAM22,378,270,265,130,210,870,128,190,213,1183,573,87,41,80,109,341,118,55,1086,1200,24,127
ADAM23,786,37,1184,5376,47,112,195,103,6933,101,1939,45,62,421,78,1324,1568,273,27,9,190,2190
ADAM28,197,171,190,39,585,75,36,189,71,197,843,201,238,60,468,701,205,28,374,363,63,553
ADAM29,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ADAM32,26,1,1,1,6,6,39,116,33,16,14,27,7,5,3,29,11,7,12,6,9,23
ADAM33,582,3,162,1,23,18,22,229,265,93,30,122,19,133,10,528,51,11,49,8,43,19
ADAM3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADAM8,492,175,401,66,867,821,204,314,819,226,2173,2125,140,126,536,1159,875,97,850,1073,445,217
ADAM9,12527,1879,2656,3405,8649,3131,4528,6736,4537,7202,8722,31250,3763,613,1795,9111,6210,677,6439,5136,3011,4866
ADAMDEC1,521,137,159,24,37,85,66,462,35,233,420,662,441,59,1651,967,198,132,396,152,129,375
ADAMTS1,6408,1086,1054,4222,2370,2943,3277,6876,19236,4510,19605,2917,565,344,774,4060,1700,241,1569,2042,1528,1850
ADAMTS10,512,79,45,21,136,50,63,172,347,105,310,265,97,173,38,928,176,17,153,117,151,108
ADAMTS12,534,80,56,143,288,83,53,96,1045,432,473,1783,19,21,19,1021,669,8,245,191,37,234
ADAMTS13,121,203,175,43,24,177,59,177,619,39,131,43,91,114,111,116,158,209,139,186,76,379
ADAMTS14,243,125,55,93,563,47,770,119,327,278,286,1923,81,397,80,576,516,12,115,61,149,161
ADAMTS15,747,18,18,19,44,16,143,240,709,149,142,246,60,142,28,507,114,149,165,37,248,121
ADAMTS16,57,10,303,7,93,0,2,7,6,46,10,504,195,13,6,168,35,53,8,12,3,43
ADAMTS17,442,109,116,103,402,626,26,69,85,811,71,57,77,47,114,163,51,83,879,1053,94,480
ADAMTS18,165,0,1,4,11,5,28,28,1,10,11,249,26,1,10,336,18,0,27,13,8,6
ADAMTS19,0,0,1,0,1,58,0,3,25,0,0,1,0,0,1,1,0,1,1,0,0,0
ADAMTS2,5949,473,714,284,1895,367,822,753,6998,1286,2937,3216,692,782,598,8243,2790,1852,1972,1147,566,690
ADAMTS20,0,0,10,2,0,2,22,61,91,7,15,2,4,0,3,1,0,0,0,0,0,0
ADAMTS3,201,12,203,48,16,15,149,83,127,35,324,47,19,5,45,312,202,9,72,32,42,47
ADAMTS4,1009,111,884,451,585,146,431,2298,1719,2575,4174,1822,189,340,54,4505,4563,100,591,240,787,150
ADAMTS5,1224,53,228,81,3039,206,123,654,1464,374,1131,591,85,26,50,1250,419,36,762,230,295,75
ADAMTS6,178,56,613,89,87,11,84,56,369,678,257,1422,26,3,38,277,265,14,211,104,33,31
ADAMTS7,341.86,110,856,75,344,615,85,166,1777,388,644,221,205,1054,41,1327.86,625.97,201,130,71,193,1290
ADAMTS8,66,5,3,2,8,1,17,80,65,11,11,7,10,9,0,56,4,10,12,4,45,22
ADAMTS9,1447,106,335,265,497,125,336,940,7263,2833,3124,993,236,55,65,1774,1404,146,271,229,406,179
ADAMTS9-AS2,26,4,5,5,7,1,3,97,123,36,40,6,3,1,0,45,9,0,3,3,3,15
ADAMTSL1,945,50,80,65,164,71,279,540,178,348,1193,10977,109,88,53,1043,223,29,203,79,48,32
ADAMTSL2,168,265,138,40,275,27,29,92,225,151,212,179,25,110,32,513,305,57,42,24,159,725
ADAMTSL3,71,285,74,7,136,5,25,130,161,41,223,86,70,108,59,355,89,25,51,30,20,756
ADAMTSL4,1325,308,1349,67,114,72,162,327,879,146,2103,730,210,410,203,832,363,1672,303,147,306,196
ADAMTSL5,290,43,9,382,135,38,69,13,489,338,263,35,11,134,126,34,86,175,41,24,12,29
ADAP1,943,135,432,145,170,211,103,177,1240,432,326,241,118,160,525,412,276,415,169,61,98,1102
ADAP2,1019,478,506,166,1115,150,270,647,417,362,1258,1214,624,112,831,2098,1384,482,1766,922,1444,1133
ADAR,19573,11512,26042,17414,16834,6625,4578,11669,17801,14052,21466,27126,8220,4546,10945,15364,14228,10782,17888,13862,5202,9017
ADARB1,2499,1028,1308,4377,6861,3336,401,1879,2299,1286,4537,1245,639,1131,1019,1660,1082,815,859,1009,558,2895
ADARB2,0,21,16,0,47,5,4,3,17,1,1,0,0,0,22,2,11,2,54,103,8,1
ADARB2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAT1,1289,406,1320,1442,1317,309,214,1040,1398,716,896,1055,306,78,174,1007,329,79,1171,904,303,668
ADAT2,235,280,207,114,329,402,339,1128,454,255,221,602,250,68,338,235,318,124,514,727,349,436
ADAT3,126,80,86,236,84,307,131,180,229,128,160,373,137,251,112,128,120,337,151,135,298,155
ADC,1077,239,98,748,220,102,85,160,272,101,368,171,733,374,126,444,498,132,266,265,60,256
ADCK1,322,247,546,506,900,234,152,617,293,227,448,331,445,486,331,534,236,354,325,207,239,104
ADCK2,1532,985,1071,1091,1652,1198,808,1567,920,2139,1536,1614,1800,2582,782,1315,1259,686,889,471,905,1294
ADCK3,2763,2155,3446,1944,719,1111,705,2347,3331,786,2842,1468,1833,1649,1127,1615,727,3157,3122,3320,448,1024
ADCK4,1621,798,707,1616,879,1160,615,1612,2909,1236,1442,795,1224,1490,367,726,897,675,895,668,645,708
ADCK5,285,180,198,316,376,501,296,336,610,449,505,293,369,386,210,431,433,197,200,178,285,245
ADCY1,15039,1419,1571,11945,13934,4894,141,2871,2736,221,156,137,3991,1611,102,778,243,206,130,68,86,92
ADCY10,0,39,0,2,0,1,5,4,1,1,3,7,0,0,1,1,3,0,1,0,2,2
ADCY10P1,17,34,15.01,7,31.08,144,30,32,14,8,44,194,110,8,18,33,173,89,65,81,32,258
ADCY2,11,3,1,3,146,30236,2,50,8,33,2,12,1195,212,3,24,1260,10,4,0,23,9
ADCY3,5416.44,283.57,503.9,3031.1,721.87,3815.25,1009.13,2380.91,4484.4,1234.71,1241.33,4014.18,1151.9,2371.13,791.31,2189.72,2690.85,1086.95,801.25,340.77,2160.22,1286.97
ADCY4,629,64,75,100,112,83,77,421,206,104,257,323,144,67,72,708,318,83,135,102,292,110
ADCY5,57,119,84,24,34,17,21,100,1069,14,12,118,21,27,31,298,78,106,71,32,36,72
ADCY6,4266,1211,3032,3808,2587,1509,875,2873,2640,9099,3906,628,2072,1487,655,2204,2039,697,3069,2726,574,2299
ADCY7,1896,781,2359,530,1757,1025,281,1007,4471,618,2247,3808,628,245,1781,2902,1789,376,1551,1014,991,2057
ADCY8,0,0,7,2,28,0,3,114,115,1,3,5,3,0,0,0,1,0,0,0,0,0
ADCY9,2621,1630,1806,5459,1287,1828,928,1354,2294,1568,1053,1348,845,1354,450,1329,953,1166,1585,1438,514,2079
ADCYAP1,393,4,7,1,2,6,13,31,4,3,19,63,19,0,1,98,30,2,7,2,14,0
ADCYAP1R1,208,12,11,12,49,4,54,192,58,146,142,201,38,40,21,163,60,112,55,22,56,9
ADD1,13906,4680,8913,19994,11458,5097,3191,7894,8130,7042,11859,16043,3647,2834,4282,10587,5371,7360,9725,8001,4186,4816
ADD2,66,14,847,5,20,54,29,40,204,5,37,34,13,111,55,65,155,46,103,54,18,42
ADD3,4944,1509,3438,6760,3600,3873,814,3000,7434,5393,5144,2419,2180,1037,1676,6473,3282,850,4985,5245,775,3114
ADGB,0,0,1,0,0,1,0,0,3,1,2,0,0,0,0,4,2,0,1,1,3,4
ADH1A,3.01,11882.24,0,0,0,0,0,20.64,0,1,0,2.01,0,0,0,12.08,0,0,2,0,170.3,2.04
ADH1B,1197.95,61650.42,34,3,1,36,446.91,2778.46,1,2,3,3211.87,10,24,69,5122.44,6,203.88,4004.94,116,841.04,1456.19
ADH1C,11.05,11318.33,6,2,5,0,4.09,18.12,0,2,6,12.12,7,34,7,79.48,0,11.12,14.06,2,150.47,110.77
ADH4,0,23205,0,0,0,1,15,54,0,0,0,2,0,0,3,16,0,0,8,0,265,0
ADH5,7519,6059,5092,13172,6586,6033,2961,7810,5141,6070,5995,8266,5803,1426,5795,7619,4979,3060,7877,7094,3349,5428
ADH6,2,5597,0,1,0,0,0,9,2,0,2,1,0,0,1,1,0,0,0,0,78,2
ADH7,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,7,0,0,0,0,12,0
ADHFE1,93,766,211,217,109,63,102,240,156,127,135,45,85,58,571,207,60,72,257,434,25,227
ADI1,3390,8761,2502,4042,2873,3253,2338,4995,2595,2258,4418,5327,2593,1824,3068,4032,2819,8831,3408,3338,2266,2492
ADIG,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOQ,358,1,0,0,0,8,393,1479,0,0,0,3717.37,5,0,1,3898.08,8,77,4254.62,121,1,0
ADIPOQ-AS1,0,0,1,0,0,0,0,0,0,0,0,4.63,0,0,0,1.92,0,0,7.38,0,0,0
ADIPOR1,12755,6715,8298,12451,9121,4652,1944,6301,9868,5714,7386,9476,5323,5644,3829,7077,8754,4814,6566,6054,5381,2787
ADIPOR2,8966,5029,6060,16262,8841,9943,2761,6087,5477,6977,5417,9786,3691,1584,5676,5229,3442,6059,10819,9815,3514,5411
ADIRF,783,246,32.67,98.85,237,1399,192,2015.99,123.83,85.95,271.96,1837.96,87.39,195,81.99,2154.98,184.93,339,494,32,690.99,191.8
ADK,1141,1300,842,863,1007,827,244,1367,670,911,759,3469,775,220,510,787,937,381,2223,1809,2301,667
ADM,832,182,262,62,393,639,379,696,3951,609,1000,9396,66,268,284,701,853,284,470,116,920,85
ADM2,470,47,57,1,213,103,157,73,2994,1472,167,69,23,1618,125,264,89,90,151,48,43,1007
ADM5,128,13,69,24,13,28,43,126,113,36,17,60,18,38,8,67,22,62,27,14,57,33
ADNP,7974,2030,9752,9950,4177,4026,2221,4622,9508,5145,3583,13357,5575,1541,3246,5077,2971,3185,6912,7263,1898,5485
ADNP2,1507,894,1580,2716,2371,888,745,1904,1958,1656,926,1974,1058,275,659,1255,1072,657,2261,2211,710,2276
ADO,2798,1382,1688,2579,2836,1337,412,1552,1872,1477,972,3577,2091,893,1117,1243,2872,702,3299,3173,638,1790
ADORA1,112,35,160,157,37,109,18,427,344,521,1091,152,16,215,26,42,110,36,43,26,33,31
ADORA2A,249.98,134.28,208,61,54,105,48,165.94,114.89,54,282,168.96,91.97,71,591,496.97,195,136,178,61,120,363.92
ADORA2A-AS1,1.02,122.72,5,0,2,8,6,5.06,6.11,0,2,5.04,4.03,1,2,6.03,1,0,12,7,4,16.08
ADORA2B,613,13,39,44,899,54,31,633,1851,554,1289,984,362,10,23,58,410,43,34,32,335,77
ADORA3,515,303,354,156,1687,144,78,112,212,171,903,475,271,110,259,591,2454,375,667,443,23,629
ADPGK,3273.35,1156.96,2885.74,4214.89,6409.26,2159.89,1188.53,4457.64,3286.85,2869.94,3344.05,4709.6,2850.96,1046.81,2390.62,2840.31,2225.58,1477.95,2742,2328.45,1427.68,5294.38
ADPGK-AS1,8.65,10.04,3.26,2.11,52.74,2.11,6.47,18.36,3.15,19.06,11.95,10.4,3.04,2.19,7.38,27.69,11.42,1.05,12,9.55,3.32,7.62
ADPRH,561,141,834,110,2685,595,382,1804,1825,1165,1787,703,923,88,460,1481,978,238,434,224,192,455
ADPRHL1,164,16,72,13,82,7,10,87,215,19,35,31,51,71,47,38,18,244,9,3,66,73
ADPRHL2,3080,759,997,2372,1627,1798,1004,1874,1410,2072,2393,2710,1487,1663,1323,1366,1288,1287,1383,1016,1658,1181
ADPRM,201,242,243,466,717,292,78,442,223,96,305,410,310,116,141,352,275,176,236,224,131,207
ADRA1A,0,369,4,2,1,0,0,0,4,0,5,14,0,1,1,15,2,0,9,1,4,0
ADRA1B,20,83,70,6,46,5,6,15,130,4,61,143,75,6,31,80,87,43,5,1,0,80
ADRA1D,33,1,11,1,0,4,12,6,15,15,27,155,9,2,2,40,5,5,12,2,7,47
ADRA2A,995,12,132,16,147,26,162,690,175,160,72,721,116,227,59,570,72,31,282,54,274,155
ADRA2B,11,39,24,0,1,8,32,23,92,91,4,2,6,1,59,50,22,14,16,9,7,10
ADRA2C,51,134,532,271,164,1845,21,41,687,11,15,20,264,8,255,79,47,2068,21,2,97,14
ADRB1,6,6,6,0,3,6,3,81,204,2,36,17,2,10,12,8,8,1,29,20,20,12
ADRB2,199,155,143,9,255,48,15,125,47,30,75,268,47,40,219,232,64,119,998,636,94,1491
ADRB3,10,0,0,1,2,0,0,23,3,26,6,11,1,0,0,6,0,1,3,0,3,0
ADRBK1,5634,1562,2933,3814,3993,2097,1124,3542,4143,4292,5106,4614,1655,3723,3274,5399,2531,1800,3213,2310,3943,2838
ADRBK2,1855,1112,4984,1108,723,429,3548,468,745,269,863,921,616,974,1922,1957,1562,3024,1295,1006,384,1726
ADRM1,5860,2102,5930,4922,5709,4543,2515,6786,11228,5609,4527,14239,4815,8493,2533,4582,3953,4581,2818,1902,3937,3661
ADSL,3051,3773,4428,5345,2598,3137,784,4898,7194,2622,1795,5396,4241,1677,2169,2205,2724,1819,3416,3025,1138,3284
ADSS,8322,3956,5822,7262,3886,3333,1503,5361,6916,4057,4370,10194,4285,2003,5067,5067,5506,2238,4240,4236,1801,2693
ADSSL1,108,277,496,128,789,44,36,66,352,130,389,76,27,336,218,219,102,312,188,166,38,411
ADTRP,46,24,2,38,82,14,8,51,20,4,20,1090,53,4,16,44,100,2,17,22,647,6
AEBP1,49329,45912,46068,34529,9199,19335,53127,49903,71688,19274,117010,16104,30562,91320,12584,49313,27987,5847,68735,87557,3137,27211
AEBP2,1738,1281,1407,1658,1466,1389,725,1783,2085,2405,1693,2630,2333,466,1305,1755,1450,716,2447,2633,1757,1206
AEN,1889,1086,4018,3110,11251,1639,858,2396,2403,1799,2102,2308,2760,1706,878,2304,1432,1208,1733,1448,906,2750
AES,13685,7770,11921,14261,7158,14346,5032,6762,11074,5631,10533,16325,5928,10484,5302,12500,5803,5819,14884,11473,5675,12046
AFAP1,5873.94,2657.96,2227.96,2150.93,2020.97,974.99,2525.93,12156.82,5420.92,3094.96,6307.95,6512.91,243,383,716.98,3110.79,2487.54,860,3412.98,3295.95,407,2551.96
AFAP1-AS1,15.06,10.04,7.04,11.07,6.03,5.01,15.07,37.18,16.08,12.04,14.05,20.09,3,0,4.02,32.21,106.46,3,11.02,25.05,2,10.04
AFAP1L1,3037,201,1062,553,476,693,401,2879,2457,1721,1181,1100,644,430,288,3009,1543,542,268,183,280,851
AFAP1L2,5536,2936,214,539,485,1986,106,3926,12969,7525,7560,475,298,249,337,1264,696,140,200,92,4115,423
AFF1,6162,2199,1088,4284,5194,2124,1230,2666,1730,3029,4185,3579,804,410,1656,3723,2429,584,4760,5745,1286,2449
AFF2,102,5,553,570,271,260,1,53,144,9,390,9,21,1,41,106,41,454,272,495,7,17
AFF3,627,729,882,9,1314,1069,564,55,1196,19,101,3956,2164,351,1383,472,368,871,440,317,14,1334
AFF4,9857,5259,6263,7771,11505,4478,3634,4800,8154,6624,7732,11646,5753,825,2958,6651,5507,2363,9070,11405,3001,4686
AFG3L1P,694.53,209,357.88,489.08,702.05,255,214.57,478.53,545.46,377,332.61,631.42,428.68,155,233.43,391.56,381.6,124,566.38,579.01,311,311.49
AFG3L2,6677,3779,5636,8927,9202,3586,3645,7264,4405,4408,3673,6815,5195,1157,3164,5622,4774,6952,7411,6919,3383,6907
AFM,0,4329,0,0,0,0,0,8,0,1,0,3,0,0,1,0,0,0,0,0,57,0
AFMID,1025,1619,384,607,260,301,300,383,1091,414,603,764,303,318,737,834,270,267,597,613,171,265
AFP,0,40,0,0,0,0,1,1,0,0,2,68,0,0,0,1,0,0,0,0,0,0
AFTPH,3502,1239,1434,2660,2593,1867,917,1947,2261,2421,3042,3225,1081,517,1410,1957,1968,786,2792,2894,2111,1764
AGA,1963,846,1006,5030,7275,1346,615,2069,3808,2572,2366,1209,895,685,1399,1139,1084,212,2248,1814,870,806
AGAP1,4877,856,3056,3917,2664,2416,1003,1162,8598,1208,1712,1905,543,802,1255,1097,827,1013,4370,3951,575,1131
AGAP11,55.78,9.08,32.53,23.42,199.61,59.18,20.1,96.47,46.82,19.21,27.25,124.48,785.34,1,9.11,60.63,130.39,12,7.05,8.08,26.33,179.08
